estagio,gene,HR,ic_inf,ic_sup,p,n,eventos,fdr
I,tsc2,0.9619866468918585,0.8351835390971891,1.1080418440700992,0.5910067438498867,479,216,0.8550363838538302
I,kmt2c,0.9614754972231935,0.8382628978678127,1.102798578002152,0.5744719643300558,479,216,0.8550363838538302
I,aff2,1.0342978875275821,0.915436168948251,1.1685928046442442,0.5882161819546181,479,216,0.8550363838538302
I,foxp1,0.9596249070979422,0.8264181830204148,1.114302639079259,0.5888410833594626,479,216,0.8550363838538302
I,kdm6a,1.0405173860996675,0.9109220232412686,1.1885500659247148,0.5583879599216899,479,216,0.8550363838538302
I,npnt,1.0392563804313586,0.9063711763863287,1.191624195920955,0.5812030053943422,479,216,0.8550363838538302
I,siah1,1.0421170468141647,0.9075003888044946,1.1967024506637844,0.5588283542299644,479,216,0.8550363838538302
I,cyp19a1,1.0425476023795972,0.900144807081044,1.2074785019890557,0.578171556423124,479,216,0.8550363838538302
I,ddc,1.0434482424360616,0.8984875601747678,1.2117966713207724,0.5773144975638327,479,216,0.8550363838538302
I,pik3r3,0.9628152026927984,0.8443962443497939,1.0978413520185628,0.5714516870547779,479,216,0.8550363838538302
I,ran,0.9586687999414307,0.831509780893815,1.1052736709762245,0.5609964013641964,479,216,0.8550363838538302
I,prkacg,1.041245991733735,0.8972754384410283,1.2083170550007494,0.5944896488949971,479,216,0.8575381661051729
I,arl11,1.037953326840405,0.9032564235296414,1.1927367252912875,0.5994058331198908,479,216,0.8620866246930196
I,agtr2,0.9651434537727741,0.8441518926272294,1.1034766308008297,0.6036589496812734,479,216,0.8656575554080431
I,aph1a,0.9666178810873829,0.8490851415878943,1.100419831031917,0.6077491481991969,479,216,0.866441205450167
I,mapk14,1.0388529063217797,0.8985321325361836,1.2010871085122252,0.6066657962458495,479,216,0.866441205450167
I,hsd3b2,0.9658676900360915,0.8446015158234833,1.104545015818591,0.6119123788557335,479,216,0.8698405618036444
I,heyl,1.0353645008847039,0.9021740396662378,1.188218240117854,0.620838465643305,479,216,0.877427773698197
I,eif4ebp1,1.0376357821013409,0.8966428077607661,1.20079925582176,0.6200226686846968,479,216,0.877427773698197
I,map3k5,0.9659552043995787,0.8400016386888255,1.1107948055471388,0.6270277719030148,479,216,0.8836212693388307
I,bard1,0.9668575459327501,0.838984327838971,1.1142204724311866,0.6414552889821957,479,216,0.8860780686787958
I,fgf1,1.0316654663237024,0.9073385589977393,1.1730281093537813,0.6342091675832587,479,216,0.8860780686787958
I,ctnna1,1.0361336955416793,0.8930966940730997,1.202079284540478,0.6395595536483201,479,216,0.8860780686787958
I,ppp2cb,1.0302921003019243,0.909181889359271,1.1675351482117884,0.6399825315047886,479,216,0.8860780686787958
I,prps2,0.9682167762440848,0.8477867364449573,1.1057541779097553,0.6336463480204515,479,216,0.8860780686787958
I,shank2,0.968106778606622,0.844664474504772,1.1095893849846008,0.6414026504591105,479,216,0.8860780686787958
I,smarcb1,1.0321853055322623,0.9035875865367864,1.17908492860128,0.6407745289393487,479,216,0.8860780686787958
I,bmpr1b,1.0310954431802777,0.903133527302283,1.1771878474303274,0.6505918543060372,479,216,0.8961673711426822
I,ccnd1,0.9676280583548229,0.8377888962599195,1.1175894828582702,0.6544089053971696,479,216,0.8988931312899323
I,kdm3a,0.9694990702068088,0.8446702790911201,1.1127755650917965,0.6595967062339935,479,216,0.9034812026566466
I,asxl2,0.9728941907552304,0.859934025875012,1.1006927019106558,0.6625502449420182,479,216,0.9049918150185668
I,thsd7a,1.0335923630959964,0.8901900530520438,1.2000956081093268,0.6646018095644441,479,216,0.9052654174847163
I,atm,0.9733143479555064,0.859753797545461,1.1018745397120044,0.6691480658293139,479,216,0.9068503824352646
I,hsd17b12,0.9667422401769972,0.8276848293002007,1.1291623645350921,0.6694744132088559,479,216,0.9068503824352646
I,mapk8,0.9703377942457447,0.8437571251291116,1.1159081291285338,0.6728707128216831,479,216,0.9089330899718316
I,hla-g,1.028177388942595,0.9001586139112202,1.174402740578646,0.6821127639977942,479,216,0.9188791779474417
I,arrdc1,0.9712898138650297,0.8403167587934983,1.122676529589241,0.6934526405769277,479,216,0.9239736818586312
I,maml3,0.9721765525579834,0.8463399501712183,1.1167229541182855,0.6899034898718789,479,216,0.9239736818586312
I,bmp3,1.0292571742546275,0.8924209870504602,1.1870746498868705,0.6919554303785771,479,216,0.9239736818586312
I,cyp11a1,1.0303035415917716,0.8895317249473054,1.1933530396337813,0.6904289675862816,479,216,0.9239736818586312
I,ncoa2,0.9735348347655163,0.8485766070673797,1.1168939452353595,0.7019596432521509,479,216,0.932767025951907
I,sbno1,1.0265317395001703,0.8966190584607386,1.1752676928486099,0.7044636335788352,479,216,0.9335574981573183
