gene,HR_os,ic_inf,ic_sup,fdr_os,HR_dss,fdr_dss,direcao,significativo_os,forca
dlec1,0.925063868877929,0.870752470993872,0.982762828713722,0.0458600152590257,0.805373424252038,6.86983429306e-05,maior sobrevida (protetor),True,0.07789249641777737
tsc1,0.925957821195631,0.872545729331281,0.982639485600909,0.0443625335624459,0.876402944776096,0.0051681423748271,maior sobrevida (protetor),True,0.07692659483812742
rbpjl,1.07980715586033,1.02069127878377,1.14234687616468,0.0325411487464388,1.0679912862033,0.200446743022168,menor sobrevida (risco),True,0.07678246580391936
map3k13,1.07954481796476,1.0202974484069,1.14223260659356,0.0337478160460276,1.0552211961064,0.321645857183872,menor sobrevida (risco),True,0.07653948744741186
adam17,1.07919623871269,1.01766126261502,1.14445205338646,0.0443625335624459,1.1193671426682,0.0149915469965872,menor sobrevida (risco),True,0.07621654065023002
ctnna1,1.07916655119308,1.0165893853621,1.14559571640535,0.0486110805298214,1.02342021817961,0.739180595197139,menor sobrevida (risco),True,0.07618903135498929
asxl2,1.07786007917007,1.01724051327117,1.14209209632493,0.0443625335624459,1.03826126567211,0.533263432325778,menor sobrevida (risco),True,0.07497766737423964
tulp4,1.07773916243096,1.01729231163592,1.14177772598078,0.0443625335624459,1.02027725754576,0.78448361776734,menor sobrevida (risco),True,0.07486547885895041
jak1,0.930411831233698,0.880898091485315,0.982708651621677,0.0403559299200686,0.926022889302398,0.114127185901737,maior sobrevida (protetor),True,0.07212796157124007
kmt2c,1.0741865633225,1.0174539471914,1.13408255578328,0.0403559299200686,1.06212143892054,0.228548258927673,menor sobrevida (risco),True,0.07156368986742219
