gene,vezes_selecionado,freq_selecao_perc,HR,fdr
mapk14,0,0,1.02693338109668,0.573461853465283
mapk3,0,0,1.00494712902453,0.921619693500207
mapk4,0,0,1.01674240242125,0.712184862264833
mapk6,0,0,1.02226063071142,0.630304983948245
mapk7,0,0,1.05893151342281,0.157037622984912
mapk8,0,0,0.93668732404693,0.10244211176491
mdc1,0,0,1.03720702346414,0.387818593755142
mlst8,0,0,1.06875634751737,0.0890804292473036
mmp1,0,0,0.994874282301662,0.918449338354895
mmp10,0,0,0.905606219121636,0.0188584861390801
mmp11,0,0,1.13423080821744,0.000719015371730211
mmp12,0,0,1.00295364972441,0.950804543101875
mmp13,0,0,1.03811136894351,0.3784625758001
mmp14,0,0,1.00103136218611,0.978886072824831
mmp15,0,0,1.11534530452745,0.00129825444542124
mmp16,0,0,1.03939540348422,0.376996549068253
mmp17,0,0,1.08305073825214,0.0293123694006329
mmp19,0,0,0.900951251574078,0.00901305391634632
mmp2,0,0,0.977608013895746,0.629303281391976
mmp21,0,0,0.992209058650889,0.881468120078687
mmp23b,0,0,1.011461807765,0.806005661425389
mmp24,0,0,1.02295196436685,0.606226424841446
mmp26,0,0,0.984826387721574,0.722621534755412
mmp27,0,0,0.912589472322286,0.0204018735182985
mmp28,0,0,0.934862524992564,0.103822196534156
mmp3,0,0,0.899783559782706,0.00539586433701623
mmp7,0,0,0.915567730635292,0.0225380678564403
mmp9,0,0,1.07288816885336,0.0693012267924541
mtor,0,0,1.03627685361316,0.407319090049381
nfkb2,0,0,0.984964578155615,0.725705411880067
opcml,0,0,1.01467729307678,0.745269550012956
pdgfa,0,0,0.983970974051629,0.72501932135825
pdgfb,0,0,1.10878603462696,0.00328411104634442
pdgfrb,0,0,0.981339450488193,0.6725820085262
peg3,0,0,1.04754619486104,0.263984962614929
pik3ca,0,0,0.957624371890533,0.32213747275205
pik3r1,0,0,0.932247176832128,0.0755988541962612
pik3r2,0,0,1.01306881593553,0.783709986350005
plagl1,0,0,0.95556379643168,0.291752520178541
ptk2,0,0,1.07686349426689,0.0570776050190871
rab25,0,0,1.01339353893983,0.787572286582652
rad51,0,0,1.03335817696665,0.444544832381252
raf1,0,0,1.12042466328857,0.00187662063465622
rassf1,0,0,0.934479559767572,0.0900500855591876
rheb,0,0,0.976692651912766,0.574232089612184
rictor,0,0,0.969047098025745,0.493726874524168
rps6,0,0,0.854598681204659,0.00000164193211732952
rps6ka1,0,0,0.983426566918592,0.703523177812269
rps6ka2,0,0,0.89366189629224,0.00190000646300885
rps6kb1,0,0,1.03888300993286,0.373558429058744
rps6kb2,0,0,1.1308322366223,0.000500263547621384
rptor,0,0,1.08221430844643,0.0290049142358453
slc19a1,0,0,1.14206130724165,0.000123517776223097
smad1,0,0,1.02112005253005,0.647320296173733
smad2,0,0,1.04091503848245,0.352286248239922
smad3,0,0,1.05543770425181,0.180906217008694
smad4,0,0,0.91700516359978,0.0109702563863415
smad5,0,0,0.955389712658257,0.302625863563466
smad6,0,0,1.10950614880875,0.00428336021191058
smad7,0,0,1.06188841356288,0.145561925936522
smad9,0,0,0.971694741157453,0.526736334643007
sptbn1,0,0,1.01991588279924,0.647320296173733
terc,0,0,1.01197208893083,0.811798542690161
tert,0,0,0.958012532937119,0.2966641350977
tgfb1,0,0,1.02649065045537,0.574232089612184
tgfb2,0,0,0.959999215209299,0.352286248239922
tgfb3,0,0,0.893617077270398,0.0015062272134715
tgfbr1,0,0,1.04544220735221,0.291413352198393
tgfbr2,0,0,0.917915231233129,0.0115893978912367
